slug,yearJoined,allTimeWins,allTimeLosses,totalPointsFor,playoffAppearances,playoffWins,championships
pakistan-bombers,2022,32,20,5864.66,3,4,1
nabers-in-paris,2023,9,30,3464.78,0,0,0
mount-olympus,2022,31,21,5996.24,3,4,0
vile-horrendous,2025,8,5,1497.24,1,0,0
fort-bragg,2022,31,21,5768.74,3,6,2
chicago-zestiest,2022,25,27,5501.9,2,1,0
beer,2022,33,19,5956.28,3,1,0
pluto-shraazinatorz,2022,30,22,5828.86,3,3,0
the-watermark,2024,15,11,3074.78,1,0,0
doobs-agency,2022,31,21,5419.04,3,2,0
englewood-ninjas,2023,19,20,4454.7,2,2,0
i-heart-gingers,2022,27,25,5376.52,3,1,0
amon-ra-dawgin,2022,25,27,5418.76,2,4,1
vancouver-panties,2022,16,36,5088.7,1,2,0
