slug,week,opponent,date,home,teamScore,oppScore
pakistan-bombers,1,nabers-in-paris,7-Sep-26,no,,
pakistan-bombers,2,vancouver-panties,14-Sep-26,no,,
pakistan-bombers,3,chicago-zestiest,21-Sep-26,no,,
pakistan-bombers,4,vile-horrendous,28-Sep-26,no,,
pakistan-bombers,5,i-heart-gingers,5-Oct-26,no,,
pakistan-bombers,6,mount-olympus,12-Oct-26,no,,
pakistan-bombers,7,the-watermark,19-Oct-26,no,,
pakistan-bombers,8,doobs-agency,26-Oct-26,no,,
pakistan-bombers,9,amon-ra-dawgin,2-Nov-26,yes,,
pakistan-bombers,10,pluto-shraazinatorz,9-Nov-26,yes,,
pakistan-bombers,11,BYE,16-Nov-26,no,,
pakistan-bombers,12,beer,23-Nov-26,no,,
pakistan-bombers,13,fort-bragg,30-Nov-26,yes,,
pakistan-bombers,14,englewood-ninjas,7-Dec-26,yes,,
nabers-in-paris,1,pakistan-bombers,7-Sep-26,yes,,
nabers-in-paris,2,fort-bragg,14-Sep-26,yes,,
nabers-in-paris,3,mount-olympus,21-Sep-26,no,,
nabers-in-paris,4,i-heart-gingers,28-Sep-26,no,,
nabers-in-paris,5,pluto-shraazinatorz,5-Oct-26,yes,,
nabers-in-paris,6,vile-horrendous,12-Oct-26,no,,
nabers-in-paris,7,doobs-agency,19-Oct-26,no,,
nabers-in-paris,8,beer,26-Oct-26,no,,
nabers-in-paris,9,englewood-ninjas,2-Nov-26,yes,,
nabers-in-paris,10,vancouver-panties,9-Nov-26,no,,
nabers-in-paris,11,BYE,16-Nov-26,no,,
nabers-in-paris,12,amon-ra-dawgin,23-Nov-26,no,,
nabers-in-paris,13,chicago-zestiest,30-Nov-26,yes,,
nabers-in-paris,14,the-watermark,7-Dec-26,yes,,
mount-olympus,1,i-heart-gingers,7-Sep-26,yes,,
mount-olympus,2,beer,14-Sep-26,no,,
mount-olympus,3,nabers-in-paris,21-Sep-26,yes,,
mount-olympus,4,amon-ra-dawgin,28-Sep-26,no,,
mount-olympus,5,BYE,5-Oct-26,no,,
mount-olympus,6,pakistan-bombers,12-Oct-26,yes,,
mount-olympus,7,vile-horrendous,19-Oct-26,no,,
mount-olympus,8,the-watermark,26-Oct-26,no,,
mount-olympus,9,chicago-zestiest,2-Nov-26,no,,
mount-olympus,10,doobs-agency,9-Nov-26,no,,
mount-olympus,11,vancouver-panties,16-Nov-26,yes,,
mount-olympus,12,fort-bragg,23-Nov-26,no,,
mount-olympus,13,englewood-ninjas,30-Nov-26,no,,
mount-olympus,14,pluto-shraazinatorz,7-Dec-26,no,,
vile-horrendous,1,doobs-agency,7-Sep-26,yes,,
vile-horrendous,2,the-watermark,14-Sep-26,yes,,
vile-horrendous,3,fort-bragg,21-Sep-26,no,,
vile-horrendous,4,pakistan-bombers,28-Sep-26,yes,,
vile-horrendous,5,BYE,5-Oct-26,no,,
vile-horrendous,6,nabers-in-paris,12-Oct-26,yes,,
vile-horrendous,7,mount-olympus,19-Oct-26,yes,,
vile-horrendous,8,i-heart-gingers,26-Oct-26,yes,,
